,tags_overall,f1-score,precision,recall,support,model_name,model_type
165,FW,0.7697516930022573,0.8926701570680629,0.6765873015873016,504.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
166,IN,0.941355140186916,0.9398180545836248,0.9428972618769016,4273.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
167,JJ,0.8598382749326146,0.8890746934225195,0.8324634655532359,1916.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
168,MD,0.9813258636788048,0.9822429906542056,0.9804104477611941,1072.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
169,NEG,0.9841772151898734,0.974921630094044,0.9936102236421726,313.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
170,NN,0.9491250810110174,0.9393089072396376,0.959148587801883,12215.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
171,NND,0.919210053859964,0.9481481481481482,0.89198606271777,287.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
172,NNP,0.9544934172867772,0.9525849757212224,0.9564095210782908,6974.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
173,OD,0.8339483394833949,0.8188405797101449,0.849624060150376,133.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
174,PR,0.9939506747324338,0.9916434540389972,0.996268656716418,1072.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
175,PRP,0.9879045439686172,0.9869366427171784,0.9888743455497382,1528.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
176,RB,0.9038662486938348,0.9202127659574468,0.8880903490759754,974.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
177,RP,0.9722222222222222,1.0,0.945945945945946,37.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
178,SC,0.9325820866524188,0.9353078721745908,0.9298721425803952,2581.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
179,SYM,0.9924242424242424,0.9974619289340102,0.9874371859296482,398.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
180,UH,0.6666666666666666,1.0,0.5,8.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
181,VB,0.9664050235478808,0.9605242627555,0.9723582372453008,6331.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
182,WH,0.7924528301886793,0.8571428571428571,0.7368421052631579,57.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
183,X,0.3008849557522124,0.8947368421052632,0.18085106382978725,94.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
184,Z,0.9979323308270676,0.9981199473585258,0.9977447848148844,5321.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
185,fw,0.0,0.0,0.0,0.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
186,macro avg,0.8580555768107649,0.9055567961815348,0.8393232809767218,51191.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
187,micro avg,0.9548553456662304,0.9548553456662304,0.9548553456662304,51191.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
188,weighted avg,0.9540037859894264,0.9545157253589509,0.9548553456662304,51191.0,crf-with-prefix-fold03-seed02.joblib,crf-with-prefix
189,CC,0.9729537366548044,0.9806312769010044,0.9653954802259888,1416.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
190,CD,0.9766652524395418,0.9743227990970654,0.979018996314148,3527.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
191,DT,0.9613259668508288,0.9666666666666668,0.956043956043956,91.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
192,FW,0.8109965635738832,0.9147286821705426,0.7283950617283951,486.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
193,IN,0.9405112498527506,0.94062205466541,0.9404004711425206,4245.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
194,JJ,0.8692070030895982,0.8846960167714885,0.8542510121457491,1976.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
195,MD,0.9792256846081208,0.9810785241248816,0.9773798303487276,1061.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
196,NEG,0.979907264296754,0.9664634146341464,0.9937304075235108,319.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
197,NN,0.9484511229860582,0.9416035101715198,0.955399061032864,12354.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
198,NND,0.9245647969052224,0.952191235059761,0.8984962406015038,266.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
199,NNP,0.9524888479784748,0.9477243905875722,0.9573014517506404,7026.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
200,OD,0.8137931034482758,0.8939393939393939,0.7468354430379747,158.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
201,PR,0.9917808219178084,0.9899726526891522,0.9935956084172004,1093.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
202,PRP,0.9849377865094956,0.9810828440965428,0.9888231426692964,1521.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
203,RB,0.8989334687658709,0.9267015706806284,0.8727810650887574,1014.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
204,RP,1.0,1.0,1.0,27.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
205,SC,0.9289536814910502,0.9280973451327432,0.9298115995567048,2707.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
206,SYM,0.9883449883449884,0.9883449883449884,0.9883449883449884,429.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
207,UH,0.4444444444444444,0.6666666666666666,0.3333333333333333,6.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
208,VB,0.9664534248712748,0.9618012422360248,0.9711508309814988,6378.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
209,WH,0.8041237113402061,0.8125,0.7959183673469388,49.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
210,X,0.32380952380952377,0.6296296296296297,0.21794871794871795,78.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
211,Z,0.9961015498716363,0.9971444888635066,0.9950607902735562,5264.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
212,fw,0.0,0.0,0.0,0.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
213,macro avg,0.8524155830854422,0.8844420580470556,0.8349756606607072,51491.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
214,micro avg,0.9538365928026256,0.9538365928026256,0.9538365928026256,51491.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
215,weighted avg,0.9532464060870935,0.9533167052812872,0.9538365928026256,51491.0,crf-with-prefix-fold04-seed06.joblib,crf-with-prefix
216,CC,0.9729381443298968,0.9729381443298968,0.9729381443298968,1552.0,crf-with-suffix-fold01-seed42.joblib,crf-with-suffix
217,CD,0.975773701162302,0.9814084507042252,0.9702032859927596,3591.0,crf-with-suffix-fold01-seed42.joblib,crf-with-suffix
